NDB No,Short Description,Water In Grams,Energy In Kilogram Calorie,Protein In Grams,Lipid Tot In Grams,Ash In Grams,Carbohydrate In Grams,Fiber TD In Grams,Sugar Tot In Grams,Calcium In Miligrams,Iron In Miligrams,Magnesium In Miligrams,Phosphorus In Miligrams,Potassium In Miligrams,Sodium In Miligrams,Zinc In Miligrams,Copper In Miligrams,Manganese In Miligrams,Selenium In Micrograms,Vit C In Miligrams,Thiamin In Miligrams,Riboflavin In Miligrams,Niacin In Miligrams,Panto Acid In Miligrams,Vit B6 In Miligrams,Folate Tot In Micrograms,Folic Acid In Micrograms,Food Folate In Micrograms,Folate DFE In Micrograms,Choline Tot In Miligrams,Vit B12 In Micrograms,Vit A In International Unit,Vit A In Retinol Activity Equivalents,Retinol In Micrograms,Alpha Carot In Micrograms,Beta Carot In Micrograms,Beta Crypt In Micrograms,Lycopene In Micrograms,Lut And Zea In Micrograms,Vit E In Miligrams,Vit D In Micrograms,Vit D In International Unit,Vit K In Micrograms,FA Sat In Grams,FA Mono In Grams,FA Poly In Grams,Cholesterol In Miligrams,Gram Weight 1,Gram Weight Descritpion 1,Gram Weight 2,Gram Weight Description 2,Refuse Percent
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0.0,0.0,1.0,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,18.8,0.17,2499,684,671,0.0,158.0,0.0,0.0,0.0,2.32,0.0,0.0,7.0,51.368,21.021,3.043,215,5.0,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp,0
1002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,1.62,2.87,0,0.06,23,0.05,1,24,41,583,0.05,0.01,0.001,0.0,0,0.006999999999999999,0.064,0.022000000000000002,0.09699999999999999,0.008,4,0,4,4,18.8,0.07,2468,683,671,1.0,135.0,6.0,0.0,13.0,1.37,0.0,0.0,4.6,45.39,19.874000000000002,3.3310000000000004,225,3.8,"1 pat,  (1"" sq, 1/3"" high)",9.4,1 tbsp,0
1003,"BUTTER OIL,ANHYDROUS",0.24,876,0.28,99.48,0.0,0.0,0,0.0,4,0.0,0,3,5,2,0.01,0.001,0.0,0.0,0,0.001,0.005,0.003,0.01,0.001,0,0,0,0,22.3,0.01,3069,840,824,0.0,193.0,0.0,0.0,0.0,2.8,0.0,0.0,8.6,61.924,28.732,3.694,256,12.8,1 tbsp,205.0,1 cup,0
1004,"CHEESE,BLUE",42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009000000000000001,14.5,0,0.028999999999999998,0.382,1.016,1.729,0.166,36,0,36,36,15.4,1.22,721,198,192,0.0,74.0,0.0,0.0,0.0,0.25,0.5,21.0,2.4,18.669,7.778,0.8,75,28.35,1 oz,17.0,1 cubic inch,0
1005,"CHEESE,BRICK",41.11,371,23.24,29.68,3.18,2.79,0,0.51,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,0,0.013999999999999999,0.35100000000000003,0.11800000000000001,0.28800000000000003,0.065,20,0,20,20,15.4,1.26,1080,292,286,0.0,76.0,0.0,0.0,0.0,0.26,0.5,22.0,2.5,18.764,8.597999999999999,0.784,94,132.0,"1 cup, diced",113.0,"1 cup, shredded",0
1006,"CHEESE,BRIE",48.42,334,20.75,27.68,2.7,0.45,0,0.45,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,0,0.07,0.52,0.38,0.69,0.235,65,0,65,65,15.4,1.65,592,174,173,0.0,9.0,0.0,0.0,0.0,0.24,0.5,20.0,2.3,17.41,8.013,0.826,100,28.35,1 oz,144.0,"1 cup, sliced",0
1007,"CHEESE,CAMEMBERT",51.8,300,19.8,24.26,3.68,0.46,0,0.46,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,0,0.027999999999999997,0.488,0.63,1.364,0.22699999999999998,62,0,62,62,15.4,1.3,820,241,240,0.0,12.0,0.0,0.0,0.0,0.21,0.4,18.0,2.0,15.259,7.023,0.7240000000000001,72,28.35,1 oz,246.0,1 cup,0
1008,"CHEESE,CARAWAY",39.28,376,25.18,29.2,3.28,3.06,0,,673,0.64,22,490,93,690,2.94,0.024,0.021,14.5,0,0.031,0.45,0.18,0.19,0.07400000000000001,18,0,18,18,,0.27,1054,271,262,,,,,,,,,,18.584,8.275,0.83,93,28.35,1 oz,,,0
1009,"CHEESE,CHEDDAR",37.02,404,22.87,33.31,3.71,3.09,0,0.48,710,0.14,27,455,76,653,3.64,0.03,0.027000000000000003,28.5,0,0.028999999999999998,0.428,0.059000000000000004,0.41,0.066,27,0,27,27,16.5,1.1,1242,330,330,0.0,85.0,0.0,0.0,0.0,0.71,0.6,24.0,2.4,18.867,9.246,1.421,99,132.0,"1 cup, diced",244.0,"1 cup, melted",0
1010,"CHEESE,CHESHIRE",37.65,387,23.37,30.6,3.6,4.78,0,,643,0.21,21,464,95,700,2.79,0.042,0.012,14.5,0,0.046,0.293,0.08,0.413,0.07400000000000001,18,0,18,18,,0.83,985,233,220,,,,,,,,,,19.475,8.671,0.87,103,28.35,1 oz,,,0
